date,Worldwide,Afghanistan,Albania,Algeria,Andorra,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bhutan,Bosnia and Herzegovina,Brazil,Brunei Darussalam,Bulgaria,Cambodia,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Faroe Islands,Finland,France,French Guiana,Georgia,Germany,Gibraltar,Greece,Guernsey,Holy See,Hungary,Iceland,India,Indonesia,International conveyance (Diamond Princess),Iran,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kuwait,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Malaysia,Maldives,Malta,Martinique,Mexico,Monaco,Mongolia,Morocco,Nepal,Netherlands,New Zealand,Nigeria,North Macedonia,Norway,Occupied Palestinian Territory,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saint Barthélemy,Saint Martin,San Marino,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Thailand,The United Kingdom,Togo,Tunisia,Ukraine,United Arab Emirates,United States of America,Viet Nam
21-02-20,76769,null,null,null,null,null,null,17,null,null,null,null,null,1,null,null,null,null,null,1,null,8,null,75569,null,null,null,null,null,null,null,null,1,null,null,1,12,null,null,16,null,null,null,null,null,null,3,null,634,5,null,null,null,3,93,null,null,null,null,null,null,null,22,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,204,null,null,2,null,null,null,null,null,null,85,null,null,null,2,1,1,null,35,9,null,null,null,9,15,16
22-02-20,77794,null,null,null,null,null,null,21,null,null,null,null,null,1,null,null,null,null,null,1,null,8,null,76392,null,null,null,null,null,null,null,null,1,null,null,1,12,null,null,16,null,null,null,null,null,null,3,null,634,18,null,null,1,9,105,null,null,null,1,null,null,null,22,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,346,null,null,2,null,null,null,null,null,null,86,null,null,null,2,1,1,null,35,9,null,null,null,11,35,16
23-02-20,78811,null,null,null,null,null,null,22,null,null,null,null,null,1,null,null,null,null,null,1,null,9,null,77042,null,null,null,null,null,null,null,null,1,null,null,1,12,null,null,16,null,null,null,null,null,null,3,null,634,28,null,null,1,76,132,null,null,null,1,null,null,null,22,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,602,null,null,2,null,null,null,null,null,null,89,null,null,null,2,1,1,null,35,9,null,null,null,13,35,16
24-02-20,79331,null,null,null,null,null,null,22,null,null,null,null,null,1,null,null,null,null,null,1,null,9,null,77262,null,null,null,null,null,null,null,null,1,null,null,1,12,null,null,16,null,null,null,null,null,null,3,null,695,43,null,null,1,124,144,null,3,null,1,null,null,null,22,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,763,null,null,2,null,null,null,null,null,null,89,null,null,null,2,1,1,null,35,9,null,null,null,13,35,16
25-02-20,80239,1,null,null,null,null,null,22,null,null,8,null,null,1,null,null,null,null,null,1,null,10,null,77780,null,null,null,null,null,null,null,null,1,null,null,1,12,null,null,16,null,null,null,null,null,null,3,null,691,61,1,null,2,229,157,null,8,null,1,null,null,null,22,null,null,null,null,null,null,null,1,null,null,null,null,null,null,2,null,null,null,null,3,null,null,null,977,null,null,2,null,null,null,null,null,null,90,null,null,null,2,1,1,null,37,13,null,null,null,13,53,16
26-02-20,81109,1,null,1,null,null,null,23,2,null,26,null,null,1,null,null,null,null,null,1,null,10,null,78191,null,null,2,null,null,null,null,null,1,null,null,1,12,null,null,18,null,null,null,null,null,null,3,null,691,95,5,null,2,322,164,null,12,null,1,null,null,null,22,null,null,null,null,null,null,null,1,null,null,null,null,null,null,4,null,null,null,null,3,null,null,null,1261,null,null,2,null,null,null,null,null,null,91,null,null,null,2,1,1,1,40,13,null,null,null,13,53,16
27-02-20,82294,1,null,1,null,null,null,23,2,null,33,null,null,1,null,null,1,null,null,1,null,11,null,78630,null,null,3,null,null,1,null,null,1,1,null,2,18,null,1,21,null,1,null,null,null,null,3,null,705,141,6,null,2,400,186,null,43,null,2,null,null,null,22,null,null,null,null,null,null,null,1,null,null,null,1,1,null,4,2,null,null,null,3,null,null,null,1766,null,1,2,null,null,null,null,null,null,93,null,null,null,12,1,2,1,40,13,null,null,null,13,59,16
28-02-20,83652,1,null,1,null,null,null,23,4,null,33,null,1,1,null,null,1,null,null,1,null,11,null,78961,null,null,3,null,null,1,null,null,1,1,null,2,38,null,1,26,null,3,null,null,null,null,3,null,705,245,7,null,3,650,210,null,43,null,2,null,1,null,24,null,null,null,null,null,null,null,1,1,1,1,1,4,null,6,2,null,null,null,3,null,null,null,2337,null,1,2,null,null,null,null,null,null,96,null,null,null,25,1,7,6,40,16,null,null,null,19,59,16
29-02-20,85403,1,null,1,null,null,null,24,5,null,38,null,1,1,null,null,1,null,null,1,null,14,null,79394,null,null,5,null,null,2,null,null,1,1,null,2,57,null,2,57,null,3,null,null,null,null,3,null,705,388,8,null,5,888,230,null,45,null,2,null,1,null,24,null,null,null,2,null,null,null,1,2,1,1,1,6,null,6,2,null,null,null,3,null,null,null,3150,null,3,2,null,null,1,null,null,null,98,null,null,null,32,1,12,10,42,20,null,null,null,19,62,16
01-03-20,87137,1,null,1,null,null,null,25,10,3,40,null,1,1,null,null,2,null,null,1,null,19,null,79968,null,null,7,null,null,3,null,1,1,1,null,2,100,null,3,57,null,3,null,null,null,null,3,null,705,593,13,1,7,1128,239,null,45,null,2,null,1,null,24,null,null,null,2,1,null,null,1,7,1,1,1,15,null,6,4,null,null,null,3,null,null,1,3736,null,3,2,null,null,1,null,null,null,102,null,null,null,45,1,13,18,42,23,null,null,null,19,62,16
02-03-20,88948,1,null,1,null,null,1,27,10,3,47,null,1,1,null,null,2,null,null,1,null,19,null,80174,null,null,7,null,3,4,1,1,2,1,null,6,100,null,3,129,null,7,null,null,null,2,3,2,706,978,19,1,7,1689,254,null,56,null,10,null,1,1,24,null,null,null,5,1,null,null,1,13,1,1,1,19,null,6,4,null,null,null,3,null,null,3,4212,null,3,2,null,null,1,null,null,null,106,null,null,null,45,1,14,24,42,36,null,null,null,21,62,16
03-03-20,90869,1,null,5,1,null,1,33,18,3,49,null,1,8,null,null,2,null,null,1,null,27,null,80304,null,null,8,null,3,5,1,6,2,1,null,7,191,null,3,157,null,7,null,null,null,9,5,2,706,1501,26,1,10,2036,268,1,56,1,13,null,1,1,29,null,null,null,5,1,null,1,1,18,2,1,1,25,null,6,5,null,null,null,3,null,2,7,4812,null,3,3,null,null,8,1,1,null,108,null,null,null,114,1,15,30,43,39,null,1,null,21,64,16
04-03-20,93090,1,null,5,1,1,1,43,24,3,49,null,1,8,null,null,2,null,null,1,null,30,1,80422,null,null,9,null,5,8,1,7,2,2,null,7,212,null,3,196,null,7,null,null,null,16,6,2,706,2336,31,2,12,2502,284,1,56,1,13,null,1,1,50,null,null,null,5,1,null,1,1,28,2,1,1,32,null,12,5,null,null,null,3,1,2,8,5328,null,4,3,null,null,8,1,1,null,110,null,null,null,151,1,24,37,43,51,null,1,1,27,108,16
05-03-20,95324,1,null,12,1,1,1,57,37,3,49,null,6,23,null,2,3,null,null,1,null,30,1,80565,null,null,9,null,5,10,1,7,2,2,null,7,282,null,3,262,1,9,null,null,2,26,29,2,706,2922,36,2,15,3089,317,1,58,1,13,1,1,1,50,null,null,null,5,1,null,2,1,38,2,1,1,56,4,15,5,null,null,null,3,1,7,8,5766,null,4,3,1,2,16,2,4,null,110,null,1,null,198,1,35,56,47,89,null,1,1,27,129,16
06-03-20,98192,1,null,12,1,1,1,57,47,3,49,null,6,50,1,2,7,null,null,1,1,45,1,80711,null,null,10,null,12,18,1,13,3,3,null,12,420,null,9,534,1,32,null,null,2,26,30,2,696,3513,36,14,15,3858,349,1,58,1,16,1,1,1,55,null,null,null,5,1,null,2,1,82,4,1,1,86,7,16,5,null,null,null,5,1,9,8,6284,null,6,4,1,2,21,8,4,1,117,null,6,1,257,1,61,86,47,118,null,1,1,27,148,16
07-03-20,101927,1,null,17,1,2,1,62,66,9,49,null,6,109,1,2,13,null,null,1,2,51,5,80813,1,null,11,null,12,23,1,14,3,10,null,19,613,null,9,639,1,32,null,1,5,45,31,2,696,4747,44,18,19,4636,408,1,58,1,22,1,1,2,83,null,null,null,5,1,null,2,1,128,5,1,3,113,16,16,5,null,null,1,5,5,13,11,6767,null,7,7,1,2,24,8,4,1,130,1,9,1,374,1,137,209,48,167,1,1,1,45,213,17
08-03-20,105592,4,null,17,1,9,1,74,104,9,56,null,6,169,1,2,19,null,2,2,2,57,5,80859,1,5,11,null,26,31,1,14,48,10,1,19,706,5,12,795,1,66,null,1,7,45,34,6,696,5823,54,19,25,5883,455,1,62,1,28,1,1,2,93,2,3,2,7,1,null,2,1,188,5,1,3,147,16,16,5,null,null,6,6,6,21,12,7134,1,13,7,1,2,27,11,4,1,138,3,12,2,430,1,161,264,50,210,1,1,1,45,213,21
09-03-20,109577,4,2,20,1,12,1,77,112,9,79,3,6,200,1,2,25,null,4,2,2,62,10,80904,1,9,11,null,32,36,1,15,55,10,2,30,1116,5,13,1112,1,73,null,1,9,55,43,6,696,6566,60,21,39,7375,488,1,64,3,32,1,1,2,93,4,3,2,7,1,null,2,1,265,5,2,3,169,19,16,6,null,1,6,10,11,30,15,7382,1,15,7,1,2,37,15,4,1,150,5,16,3,589,1,203,332,50,277,1,2,1,45,213,30
